PacketSeqNo,ArrivalTime,MulticastIdx
95,9.66964912415,20.6607499123,1
96,9.77245903015,20.7649989128,1
97,9.87556195259,20.8669250011,1
98,9.97810196877,20.969440937,1
99,10.0807080269,21.0745849609,1
100,10.1836869717,21.1760020256,1
101,10.2882621288,21.2787048817,1
102,10.3914759159,21.383040905,1
103,10.4938111305,21.4865789413,1
104,10.5960631371,21.5874819756,1
105,10.6977601051,21.6894600391,1
106,10.800039053,21.7907309532,1
107,10.902107954,21.892966032,1
108,11.0045039654,21.995759964,1
109,11.1067340374,22.1003410816,1
110,11.2088890076,22.2010018826,1
111,11.3110260963,22.3015069962,1
112,11.4126241207,22.4035129547,1
113,11.5149579048,22.5057809353,1
114,11.617002964,22.6084609032,1
115,11.7190051079,22.7111470699,1
116,11.820663929,22.811704874,1
117,11.9227569103,22.9135138988,1
118,12.0253601074,23.0173289776,1
119,12.1271269321,23.1218669415,1
120,12.2289199829,23.2192599773,1
121,12.3311810493,23.3216118813,1
122,12.4331150055,23.4257850647,1
123,12.5358150005,23.5269320011,1
124,12.6377820969,23.6281189919,1
125,12.7400450706,23.7316360474,1
126,12.8419120312,23.8333199024,1
127,12.9439561367,23.9349379539,1
128,13.0461130142,24.0379149914,1
129,13.1481211185,24.1423549652,1
130,13.2501881123,24.2416100502,1
131,13.3534400463,24.3437480927,1
132,13.4556081295,24.447259903,3
133,13.5583720207,24.5504150391,3
134,13.6605639458,24.6518900394,3
135,13.7625119686,24.7529120445,3
136,13.8649830818,24.8553650379,3
137,13.9669969082,24.9603490829,3
138,14.069257021,25.0609359741,3
139,14.1712839603,25.1628210545,3
140,14.2730839252,25.2642989159,3
141,14.374876976,25.3652999401,3
142,14.476624012,25.4670670033,3
143,14.5789399147,25.5694730282,3
144,14.6816020012,25.6724450588,3
145,14.7835149765,25.7759230137,3
146,14.885488987,25.883095026,3
147,14.9874200821,25.9788939953,3
148,15.0907809734,26.0839879513,3
149,15.1933910847,26.1836740971,3
150,15.2955870628,26.2888770103,3
151,15.3975739479,26.388655901,3
152,15.499628067,26.4934790134,3
153,15.6018640995,26.5928590298,3
154,15.7037339211,26.6938390732,3
155,15.8060181141,26.7970581055,3
156,15.9089019299,26.8992729187,3
157,16.0107979774,27.0058999062,3
158,16.1128540039,27.1036589146,3
159,16.2147219181,27.2054030895,3
160,16.3173120022,27.307297945,3
161,16.4192810059,27.4108901024,3
162,16.5211610794,27.5105469227,3
163,16.6227769852,27.614082098,3
164,16.7246210575,27.7152750492,3
165,16.8278470039,27.818046093,3
166,16.9318161011,27.9226419926,3
167,17.0347399712,28.0277440548,3
168,17.1368789673,28.1297719479,3
169,17.2413589954,28.2344648838,3
170,17.3430850506,28.3343908787,3
171,17.4450139999,28.4365808964,3
172,17.546628952,28.5382668972,3
173,17.6487989426,28.6397919655,3
174,17.7506570816,28.7426269054,3
175,17.8524880409,28.8435399532,3
176,17.9541010857,28.9448080063,3
177,18.0569560528,29.0468389988,3
178,18.1587469578,29.1496260166,3
179,18.260710001,29.2517669201,3
180,18.3633389473,29.3546459675,3
181,18.4652490616,29.4564630985,3
182,18.5673239231,29.5575969219,3
183,18.6689279079,29.6595869064,3
184,18.7713320255,29.7626020908,3
185,18.877325058,29.8682239056,3
186,18.9795250893,29.9716129303,1
187,19.0840780735,30.0751841068,1
188,19.1881299019,30.1791539192,1
189,19.2921030521,30.2840509415,1
190,19.394192934,30.386729002,1
191,19.49801898,30.4926390648,1
192,19.601131916,30.5947339535,1
193,19.7034549713,30.6965129375,1
194,19.8051419258,30.7956080437,1
195,19.9069230556,30.8999330997,1
196,20.0102410316,31.0009109974,1
197,20.1131589413,31.104074955,1
198,20.2160689831,31.207679987,1
199,20.3186171055,31.3122799397,1
200,20.4256279469,31.4166910648,1
201,20.5277369022,31.5188660622,1
202,20.630851984,31.6254620552,1
203,20.7330360413,31.7267799377,1
204,20.8348391056,31.8289029598,1
205,20.9373719692,31.9292418957,1
206,21.0390789509,32.0300281048,1
207,21.1423220634,32.1322910786,1
208,21.2449920177,32.2367510796,1
209,21.3468239307,32.3403880596,1
210,21.4486079216,32.4428269863,1
211,21.5511610508,32.5443680286,1
212,21.654998064,32.6465198994,1
213,21.7565050125,32.7478260994,1
214,21.858397007,32.8494260311,1
215,21.960285902,32.9519178867,1
216,22.0619149208,33.053786993,1
217,22.1649940014,33.1576709747,1
218,22.266726017,33.2594230175,1
219,22.3684840202,33.3624780178,1
220,22.4700450897,33.4637269974,1
221,22.5719120502,33.5635769367,1
222,22.6747779846,33.6668601036,1
223,22.7763710022,33.7676270008,1
224,22.878264904,33.8686459064,1
225,22.9801259041,33.9720299244,1
226,23.0818629265,34.0738420486,1
227,23.1842589378,34.1754670143,1
228,23.2861640453,34.277561903,1
229,23.3881540298,34.3785889149,1
230,23.4900090694,34.4812829494,1
231,23.5916941166,34.5828089714,1
232,23.6937069893,34.7169079781,1
233,23.8224890232,34.8157410622,1
234,23.9247739315,34.9193339348,1
235,24.0268800259,35.0210039616,1
236,24.1290159225,35.1237618923,1
237,24.2317171097,35.2214379311,1
238,24.3335781097,35.323704958,3
239,24.435667038,35.4275701046,3
240,24.5375161171,35.5280189514,3
241,24.63966012,35.6290140152,3
242,24.7413909435,35.7313210964,3
243,24.8432149887,35.8339760303,3
244,24.9452040195,35.93689394,3
245,25.0480661392,36.0389769077,3
