PacketSeqNo,ArrivalTime,MulticastIdx
316,209.248767853,3
317,209.315213919,3
318,209.351981878,3
319,209.403955936,3
320,209.452173948,3
321,209.503957987,3
322,209.572154999,3
323,209.612710953,3
324,209.65972805,3
325,209.692576885,3
326,209.736065865,3
327,209.796249866,3
328,209.840065002,3
329,209.880337,3
330,209.919936895,3
331,209.951911926,3
332,209.996064901,3
333,210.040194035,3
334,210.080738068,3
335,210.112387896,3
336,210.176182032,3
337,210.223984003,3
338,210.268207073,3
339,210.308197021,3
340,210.360224962,3
341,210.4163239,1
342,210.448226929,1
343,210.480797052,1
344,210.520176888,1
345,210.567954063,1
346,210.610821962,1
347,210.672199011,1
348,210.715906858,1
349,210.760782003,1
350,210.827794075,1
351,210.874125957,1
352,210.920532942,1
353,210.980807066,1
354,211.020084858,1
355,211.064107895,1
356,211.112361908,1
357,211.156235933,1
358,211.205256939,1
359,211.260127068,1
360,211.300199032,1
361,211.348392963,1
362,211.392104864,1
363,211.445466042,1
364,211.504080057,1
365,241.59218502,2
366,241.623817921,2
367,241.676018953,2
368,241.712184906,2
369,241.756656885,2
370,241.792165041,2
371,241.832046986,2
372,241.890198946,2
373,241.935849905,2
374,242.008149862,2
375,242.05911994,2
376,242.10034585,2
377,242.14407897,2
378,242.215934992,2
379,242.276062965,2
380,242.316760063,2
381,242.357825041,2
382,242.387737036,2
383,242.425792933,2
384,242.474094868,2
385,242.532269955,2
386,242.564624071,2
387,242.596092939,2
388,242.644335032,2
389,242.688138962,2
390,242.724354029,2
391,242.792063951,2
392,242.836158991,2
393,242.868018866,2
394,242.919636965,2
395,242.972231865,0
396,243.025774002,0
397,243.071881056,0
398,243.116541862,0
399,243.160989046,0
400,243.200105906,0
401,243.236207008,0
402,243.29598999,0
403,243.340061903,0
404,243.392157078,0
405,243.435930014,0
406,243.497637987,0
407,243.537051916,0
408,243.585501909,0
409,243.625735998,0
410,243.671903849,0
411,243.70795989,0
412,243.748193026,0
413,243.803943872,0
414,243.848156929,0
415,243.889435053,0
416,243.944028854,0
417,243.99631691,0
418,244.050621986,0
419,244.096060038,0
420,244.144181013,0
421,244.196353912,2
422,244.248185873,2
423,244.284070015,2
424,244.340139866,2
425,244.38003397,2
426,244.424376965,2
427,244.480356932,2
428,244.528501987,2
429,244.564312935,2
430,244.621345043,2
431,244.676411867,2
432,244.724020958,2
433,244.772012949,2
434,244.820150852,2
435,244.872644901,2
436,244.907765865,2
437,244.977905989,2
438,245.023972988,2
439,245.072401047,2
440,245.116370916,2
441,245.156015873,2
442,245.200108051,2
443,245.268141031,0
444,245.320750952,0
445,245.36438489,0
446,245.404258966,0
447,245.468847036,0
448,245.500257015,0
449,245.552027941,0
450,245.604110956,0
451,245.655710936,0
452,245.704010963,0
453,245.748565912,0
454,245.792142868,0
455,245.828214884,0
456,245.88874507,0
457,245.940305948,0
458,245.980659008,0
459,246.012075901,0
460,246.04806304,0
461,246.088248968,0
462,246.156805038,0
463,246.203928947,0
464,246.248216867,0
465,246.300279856,0
466,246.356186867,0
467,246.416045904,0
468,246.455806017,0
469,246.496268034,0
470,246.54063201,0
471,246.580505848,0
472,276.687345982,3
473,276.724459887,3
474,276.780122042,3
475,276.824311018,3
476,276.864213943,3
477,276.928148031,3
478,276.98435092,3
479,277.024096012,3
480,277.05614686,3
481,277.088058949,3
