FlowIdx,ArrivalTime,GeneratingTime,FlowDelay,MulticastIdx,GWDelay,UEDelay,Protocol
142.0,8.24382901192,7.50389504433,0.74642205238,3.0,100.0,50.0,3GPP
143.0,8.29394292832,7.55570912361,0.7447218895,3.0,100.0,50.0,3GPP
144.0,8.30820608139,7.56782102585,0.74687314033,3.0,100.0,50.0,3GPP
145.0,8.32253098488,7.58078289032,0.74823617935,3.0,100.0,50.0,3GPP
146.0,8.36531496048,7.62660288811,0.74520015716,3.0,100.0,50.0,3GPP
147.0,8.46144104004,7.72213101387,0.74579811096,3.0,100.0,50.0,3GPP
148.0,8.55835795403,7.81742501259,0.74742102623,3.0,100.0,50.0,3GPP
149.0,8.60972309113,7.8692688942,0.74694228172,3.0,100.0,50.0,3GPP
150.0,8.62032198906,7.88131904602,0.74549102783,3.0,100.0,50.0,3GPP
151.0,8.6357998848,7.89351892471,0.74876904488,3.0,100.0,50.0,3GPP
152.0,8.67865991593,7.93894791603,0.74620008469,3.0,100.0,50.0,3GPP
153.0,8.77482700348,8.03558897972,0.74572610855,3.0,100.0,50.0,3GPP
154.0,8.87234902382,8.13170909882,0.74712800979,3.0,100.0,50.0,3GPP
155.0,8.92215490341,8.18364310265,0.74499988555,3.0,100.0,50.0,3GPP
156.0,8.93753695488,8.19569993019,0.74832510948,3.0,100.0,50.0,3GPP
157.0,8.94709992409,8.2090280056,0.74456000328,3.0,100.0,50.0,3GPP
158.0,8.99286603928,8.25428390503,0.74507021904,3.0,100.0,50.0,3GPP
159.0,9.09155511856,8.34954309464,0.74850010871,3.0,100.0,50.0,3GPP
160.0,9.18791007996,8.4447119236,0.74968624115,3.0,100.0,50.0,3GPP
161.0,9.23579311371,8.49693608284,0.74534511566,3.0,100.0,50.0,3GPP
162.0,9.24860000611,8.50965189934,0.74543619156,3.0,100.0,50.0,3GPP
163.0,9.26467299462,8.52241110802,0.74874997139,3.0,100.0,50.0,3GPP
164.0,9.3178730011,8.56838107109,0.7559800148,3.0,100.0,50.0,3GPP
165.0,9.40547800064,8.66435790062,0.74760818481,3.0,100.0,50.0,3GPP
166.0,9.50254797936,8.76051998138,0.74851608277,3.0,100.0,50.0,3GPP
167.0,9.55147910118,8.81270909309,0.74525809288,3.0,100.0,50.0,3GPP
168.0,9.56695199013,8.82495594025,0.74848413467,3.0,100.0,50.0,3GPP
169.0,9.57684493065,8.83720707893,0.74612593651,3.0,100.0,50.0,3GPP
170.0,9.62264609337,8.88321805,0.74591612816,3.0,100.0,50.0,3GPP
171.0,9.71833300591,8.97981095314,0.74501013756,3.0,100.0,50.0,3GPP
172.0,9.81669211388,9.07501411438,0.74816608429,3.0,100.0,50.0,3GPP
173.0,9.86561989785,9.12689089775,0.74521708489,3.0,100.0,50.0,3GPP
174.0,9.88680791855,9.13914299011,0.75415301323,3.0,100.0,50.0,3GPP
175.0,9.89047288895,9.15167593956,0.74528503418,3.0,100.0,50.0,3GPP
176.0,9.94041895867,9.19706606865,0.74984097481,3.0,100.0,50.0,3GPP
177.0,10.0317790508,9.29340791702,0.74485921858,3.0,100.0,50.0,3GPP
178.0,10.1332840919,9.39367294312,0.74609923358,3.0,100.0,50.0,3GPP
179.0,10.1877439022,9.44926309586,0.74496889114,3.0,100.0,50.0,3GPP
180.0,10.2006959915,9.46129608154,0.74588799476,3.0,100.0,50.0,3GPP
181.0,10.2128911018,9.47336411476,0.74601507184,3.0,100.0,50.0,3GPP
182.0,10.2582030296,9.51925706863,0.74543404577,3.0,100.0,50.0,3GPP
183.0,10.3557190895,9.61479496956,0.74741220474,3.0,100.0,50.0,3GPP
184.0,10.4505450725,9.71121692657,0.74581623073,3.0,100.0,50.0,3GPP
185.0,10.5030739307,9.76332998276,0.74623203274,3.0,100.0,50.0,3GPP
186.0,10.5181250572,9.77555799484,0.74905514716,3.0,100.0,50.0,3GPP
187.0,10.5281369686,9.78946089745,0.74516415595,3.0,100.0,50.0,3GPP
188.0,10.5748000145,9.83606004715,0.74522805215,3.0,100.0,50.0,3GPP
189.0,10.6735520363,9.93319201469,0.74684810641,3.0,100.0,50.0,3GPP
190.0,10.7690169811,10.0285010338,0.7470040321,3.0,100.0,50.0,3GPP
191.0,10.8191509247,10.0803539753,0.7452850342,3.0,100.0,50.0,3GPP
192.0,10.8311810493,10.0926139355,0.7450551986,3.0,100.0,50.0,3GPP
193.0,10.8504149914,10.104845047,0.7520580292,3.0,100.0,50.0,3GPP
194.0,10.8995659351,10.1543838978,0.7516701221,3.0,100.0,50.0,3GPP
195.0,10.9956450462,10.2531518936,0.7489812374,3.0,100.0,50.0,3GPP
196.0,11.0926730633,10.3492920399,0.7498691082,3.0,100.0,50.0,3GPP
197.0,11.1437609196,10.4013640881,0.7488849163,3.0,100.0,50.0,3GPP
198.0,11.1524319649,10.4137461185,0.7451739312,3.0,100.0,50.0,3GPP
199.0,11.1651170254,10.4261128902,0.74549222,3.0,100.0,50.0,3GPP
200.0,11.2123060226,10.4717030525,0.7470910549,3.0,100.0,50.0,3GPP
201.0,11.3082380295,10.5675840378,0.7471420765,3.0,100.0,50.0,3GPP
202.0,11.4057490826,10.6648550034,0.747382164,3.0,100.0,50.0,3GPP
203.0,11.4557619095,10.7168779373,0.745372057,3.0,100.0,50.0,3GPP
204.0,11.4688239098,10.7292261124,0.7460858822,3.0,100.0,50.0,3GPP
205.0,11.4797799587,10.7415230274,0.7447450161,3.0,100.0,50.0,3GPP
206.0,11.5278298855,10.7871510983,0.747166872,3.0,100.0,50.0,3GPP
207.0,11.6211938858,10.8826999664,0.7449820042,3.0,100.0,50.0,3GPP
208.0,11.7199690342,10.9780011177,0.7484560013,3.0,100.0,50.0,3GPP
209.0,11.7681920528,11.0296230316,0.745057106,3.0,100.0,50.0,3GPP
210.0,11.7804510593,11.0414469242,0.7454922199,3.0,100.0,50.0,3GPP
211.0,11.792484045,11.0534319878,0.745540142,3.0,100.0,50.0,3GPP
212.0,11.8449559212,11.0999419689,0.7515020371,3.0,100.0,50.0,3GPP
213.0,11.9406750202,11.2003691196,0.7467939854,3.0,100.0,50.0,3GPP
214.0,12.0350289345,11.2954618931,0.7460551262,3.0,100.0,50.0,3GPP
215.0,12.0851941109,11.3473200798,0.7443621159,3.0,100.0,50.0,3GPP
216.0,12.0993289947,11.3598179817,0.7459990978,3.0,100.0,50.0,3GPP
217.0,12.1115779877,11.3722410202,0.7458250523,3.0,100.0,50.0,3GPP
218.0,12.1565029621,11.4176850319,0.745306015,3.0,100.0,50.0,3GPP
219.0,12.2517869472,11.5131089687,0.7451660633,3.0,100.0,50.0,3GPP
220.0,12.3480970859,11.6086521149,0.7459330558,3.0,100.0,50.0,3GPP
221.0,12.4000720978,11.6604039669,0.7461562157,3.0,100.0,50.0,3GPP
222.0,12.410615921,11.672262907,0.7448410988,3.0,100.0,50.0,3GPP
223.0,12.4271719456,11.6844050884,0.749254942,3.0,100.0,50.0,3GPP
224.0,12.4691600799,11.7300539017,0.745594263,3.0,100.0,50.0,3GPP
225.0,12.5657310486,11.8257269859,0.7464921475,3.0,100.0,50.0,3GPP
226.0,12.6624140739,11.9224379063,0.7464642524,3.0,100.0,50.0,3GPP
227.0,12.7155079842,11.9748139381,0.7471821309,3.0,100.0,50.0,3GPP
228.0,12.7287139893,11.9870829582,0.7481191159,3.0,100.0,50.0,3GPP
229.0,12.7938148975,11.9996569157,0.8006460666,3.0,100.0,50.0,3GPP
230.0,12.8368389606,12.099093914,0.7442331314,3.0,100.0,50.0,3GPP
231.0,12.932945013,12.1941070557,0.7453260421,3.0,100.0,50.0,3GPP
232.0,13.0289230347,12.2893049717,0.7461061478,3.0,100.0,50.0,3GPP
233.0,13.0828359127,12.3414011002,0.7479228973,3.0,100.0,50.0,3GPP
234.0,13.0930380821,12.3538761139,0.745650053,3.0,100.0,50.0,3GPP
235.0,13.1047461033,12.3661110401,0.745123148,3.0,100.0,50.0,3GPP
236.0,13.1502799988,12.4116270542,0.7451410294,3.0,100.0,50.0,3GPP
237.0,13.245923996,12.5074698925,0.7449421883,3.0,100.0,50.0,3GPP
238.0,13.3425879478,12.6037700176,0.745306015,3.0,100.0,50.0,3GPP
239.0,13.3953421116,12.6557869911,0.7460432053,3.0,100.0,50.0,3GPP
240.0,13.407227993,12.6680750847,0.7456409931,3.0,100.0,50.0,3GPP
241.0,13.4226429462,12.6803569794,0.7487740516,3.0,100.0,50.0,3GPP
242.0,13.4651589394,12.7255260944,0.7461209298,3.0,100.0,50.0,3GPP
243.0,13.5596330166,12.8208041191,0.7453169823,3.0,100.0,50.0,3GPP
244.0,13.6594219208,12.9189240932,0.7469859124,3.0,100.0,50.0,3GPP
245.0,13.710832119,12.9707438946,0.7465763092,3.0,100.0,50.0,3GPP
246.0,13.7235939503,12.9829258919,0.7471561432,3.0,100.0,50.0,3GPP
247.0,13.7343928814,12.9953000546,0.7455809116,3.0,100.0,50.0,3GPP
248.0,13.7806019783,13.0406930447,0.7463970184,3.0,100.0,50.0,3GPP
249.0,13.8799619675,13.1371469498,0.7493031025,3.0,100.0,50.0,3GPP
250.0,13.977025032,13.2338299751,0.7496831417,3.0,100.0,50.0,3GPP
251.0,14.0247180462,13.2857589722,0.7454471588,3.0,100.0,50.0,3GPP
252.0,14.0372979641,13.2978670597,0.7459189892,3.0,100.0,50.0,3GPP
253.0,14.048664093,13.3103220463,0.7448301315,3.0,100.0,50.0,3GPP
254.0,14.0951340198,13.355629921,0.7459921836,3.0,100.0,50.0,3GPP
255.0,14.1901729107,13.4508440495,0.745816946,3.0,100.0,50.0,3GPP
256.0,14.2871599197,13.5463209152,0.7473270893,3.0,100.0,50.0,3GPP
257.0,14.3371229172,13.5983669758,0.7452440262,3.0,100.0,50.0,3GPP
258.0,14.3555910587,13.610585928,0.7514932155,3.0,100.0,50.0,3GPP
259.0,14.3624639511,13.6230390072,0.7459130287,3.0,100.0,50.0,3GPP
260.0,14.4092710018,13.6683049202,0.7474541664,3.0,100.0,50.0,3GPP
261.0,14.5074210167,13.7651159763,0.7487931252,3.0,100.0,50.0,3GPP
262.0,14.6036140919,13.8614981174,0.7486040593,3.0,100.0,50.0,3GPP
263.0,14.6524178982,13.9134280682,0.7454779148,3.0,100.0,50.0,3GPP
264.0,14.6662800312,13.9256761074,0.7470920086,3.0,100.0,50.0,3GPP
265.0,14.679074049,13.9386119843,0.7469501495,3.0,100.0,50.0,3GPP
266.0,14.723213911,13.9841229916,0.7455790042,3.0,100.0,50.0,3GPP
267.0,14.8208580017,14.0796248913,0.7477211952,3.0,100.0,50.0,3GPP
268.0,14.9198150635,14.1774361134,0.7488670349,3.0,100.0,50.0,3GPP
269.0,14.9696879387,14.2298769951,0.7462990284,3.0,100.0,50.0,3GPP
270.0,14.9821128845,14.2425229549,0.7460780144,3.0,100.0,50.0,3GPP
