Packet Index,Arrival Time,GeneratingTime,Flow Delay (sec),MulticastIdx,GWDelay,UEDelay,Protocol
124.0,20.8618350029,12.6778161526,8.184018850300001,2.0,2000.0,500.0,3GPP
125.0,20.9653189182,12.7808289528,8.184489965400001,2.0,2000.0,500.0,3GPP
126.0,21.0688381195,12.8839800358,8.1848580837,2.0,2000.0,500.0,3GPP
127.0,21.171683073,12.9869670868,8.1847159862,2.0,2000.0,500.0,3GPP
128.0,21.2784121037,13.0900549889,8.188357114799999,2.0,2000.0,500.0,3GPP
129.0,21.3821909428,13.1929559708,8.189234972000001,2.0,2000.0,500.0,3GPP
130.0,21.4822371006,13.29560709,8.186630010599998,2.0,2000.0,500.0,3GPP
131.0,21.5857050419,13.3988080025,8.1868970394,2.0,2000.0,500.0,3GPP
132.0,21.6924760342,13.5016810894,8.190794944799999,2.0,2000.0,500.0,3GPP
133.0,21.7984249592,13.6041991711,8.194225788099999,2.0,2000.0,500.0,3GPP
134.0,21.8937990665,13.7075140476,8.186285018900001,2.0,2000.0,500.0,3GPP
135.0,22.0020279884,13.8101279736,8.191900014799998,2.0,2000.0,500.0,3GPP
136.0,22.1027200222,13.9127681255,8.1899518967,2.0,2000.0,500.0,3GPP
137.0,22.2200889587,14.0158801079,8.2042088508,2.0,2000.0,500.0,3GPP
138.0,22.3070991039,14.1184840202,8.1886150837,2.0,2000.0,500.0,3GPP
139.0,22.4119510651,14.2209279537,8.191023111399998,2.0,2000.0,500.0,3GPP
140.0,22.5164289475,14.3236689568,8.192759990699999,2.0,2000.0,500.0,3GPP
141.0,22.6153609753,14.4263210297,8.1890399456,2.0,2000.0,500.0,3GPP
142.0,22.7298140526,14.5294351578,8.200378894799998,2.0,2000.0,500.0,3GPP
143.0,22.8227798939,14.6363530159,8.186426878000002,2.0,2000.0,500.0,3GPP
144.0,22.9248039722,14.7385151386,8.186288833599999,2.0,2000.0,500.0,3GPP
145.0,23.0307469368,14.8407170773,8.1900298595,2.0,2000.0,500.0,3GPP
146.0,23.1275501251,14.9438450336,8.1837050915,2.0,2000.0,500.0,3GPP
147.0,23.2438590527,15.0469009876,8.196958065099999,2.0,2000.0,500.0,3GPP
148.0,23.3465518951,15.1496169567,8.1969349384,2.0,2000.0,500.0,3GPP
149.0,23.4514830113,15.25258708,8.1988959313,2.0,2000.0,500.0,3GPP
150.0,23.5529329777,15.3558139801,8.197118997599999,2.0,2000.0,500.0,3GPP
151.0,23.6542000771,15.4585700035,8.1956300736,2.0,2000.0,500.0,3GPP
152.0,23.7575590611,15.5609941483,8.1965649128,2.0,2000.0,500.0,3GPP
153.0,23.8603699207,15.6635899544,8.196779966299998,2.0,2000.0,500.0,3GPP
154.0,23.9657900333,15.7668600082,8.1989300251,2.0,2000.0,500.0,3GPP
155.0,24.0638298988,15.8702731133,8.193556785500002,2.0,2000.0,500.0,3GPP
156.0,24.1725211144,15.9730329514,8.199488162999998,2.0,2000.0,500.0,3GPP
157.0,24.2745900154,16.0753481388,8.199241876600002,2.0,2000.0,500.0,3GPP
158.0,24.378084898,16.178374052,8.199710846000002,2.0,2000.0,500.0,3GPP
159.0,24.4827840328,16.2819070816,8.200876951200001,2.0,2000.0,500.0,3GPP
160.0,24.582556963,16.3852100372,8.197346925799998,2.0,2000.0,500.0,3GPP
161.0,24.6921169758,16.4885210991,8.2035958767,2.0,2000.0,500.0,3GPP
162.0,24.7953879833,16.5910191536,8.204368829699998,2.0,2000.0,500.0,3GPP
163.0,24.9002130032,16.6934280396,8.2067849636,2.0,2000.0,500.0,3GPP
164.0,25.0096681118,16.7960779667,8.2135901451,0.0,2000.0,500.0,3GPP
165.0,25.1049239636,16.8987281322,8.206195831400002,0.0,2000.0,500.0,3GPP
166.0,25.2047100067,17.001816988,8.2028930187,0.0,2000.0,500.0,3GPP
167.0,25.3103470802,17.104460001,8.2058870792,0.0,2000.0,500.0,3GPP
168.0,25.4156119824,17.206870079,8.2087419034,0.0,2000.0,500.0,3GPP
169.0,25.5137701035,17.3095569611,8.2042131424,0.0,2000.0,500.0,3GPP
170.0,25.6212940216,17.4121391773,8.209154844300002,0.0,2000.0,500.0,3GPP
171.0,25.7215199471,17.5150210857,8.2064988614,0.0,2000.0,500.0,3GPP
172.0,25.8262999058,17.6178290844,8.208470821399999,0.0,2000.0,500.0,3GPP
173.0,25.9313590527,17.7206740379,8.2106850148,0.0,2000.0,500.0,3GPP
174.0,26.037717104,17.8227901459,8.214926958099998,0.0,2000.0,500.0,3GPP
175.0,26.1460769177,17.9260370731,8.220039844599999,0.0,2000.0,500.0,3GPP
176.0,26.2562189102,18.0285820961,8.227636814100002,0.0,2000.0,500.0,3GPP
177.0,26.3478450775,18.1310510635,8.216794014000001,0.0,2000.0,500.0,3GPP
